Id,Class
0,1
1,1
2,4
3,7
4,5
5,1
6,3
7,1
8,1
9,2
10,8
11,2
12,6
13,9
14,4
15,0
16,3
17,8
18,3
19,7
20,3
21,8
22,4
23,1
24,7
25,9
26,3
27,0
28,7
29,2
30,2
31,6
32,2
33,1
34,1
35,2
36,0
37,3
38,8
39,0
40,1
41,2
42,7
43,9
44,2
45,9
46,3
47,1
48,1
49,7
50,4
51,3
52,7
53,0
54,9
55,9
56,8
57,3
58,0
59,8
60,7
61,0
62,7
63,1
64,3
65,1
66,8
67,1
68,9
69,8
70,8
71,1
72,0
73,0
74,1
75,3
76,7
77,0
78,2
79,1
80,3
81,1
82,8
83,1
84,3
85,1
86,9
87,0
88,9
89,1
90,2
91,5
92,2
93,4
94,5
95,1
96,7
97,8
98,0
99,1
100,7
101,3
102,1
103,2
104,0
105,9
106,1
107,2
108,6
109,1
110,9
111,3
112,1
113,0
114,8
115,7
116,2
117,3
118,1
119,2
120,2
121,5
122,1
123,3
124,0
125,2
126,1
127,8
128,1
129,0
130,4
131,1
132,6
133,7
134,0
135,9
136,3
137,0
138,5
139,9
140,0
141,8
142,8
143,0
144,3
145,8
146,9
147,1
148,0
149,0
150,5
151,5
152,2
153,3
154,1
155,7
156,8
157,5
158,9
159,4
160,9
161,7
162,7
163,8
164,1
165,2
166,3
167,9
168,0
169,2
170,3
171,1
172,0
173,9
174,0
175,3
176,7
177,2
178,0
179,3
180,2
181,0
182,1
183,3
184,2
185,4
186,3
187,2
188,2
189,5
190,7
191,0
192,3
193,3
194,7
195,3
196,5
197,3
198,0
199,4
200,8
201,0
202,1
203,5
204,0
205,0
206,5
207,2
208,8
209,9
210,0
211,8
212,7
213,1
214,4
215,2
216,0
217,7
218,0
219,0
220,6
221,3
222,1
223,8
224,0
225,2
226,7
227,7
228,1
229,3
230,3
231,7
232,4
233,4
234,3
235,9
236,8
237,6
238,8
239,0
240,1
241,6
242,4
243,9
244,9
245,4
246,1
247,5
248,7
249,8
250,8
251,1
252,9
253,7
254,1
255,2
256,3
257,0
258,2
259,3
260,3
261,2
262,0
263,5
264,5
265,1
266,5
267,1
268,5
269,1
270,4
271,1
272,0
273,5
274,8
275,7
276,9
277,2
278,1
279,5
280,2
281,3
282,0
283,2
284,4
285,6
286,7
287,7
288,5
289,2
290,0
291,3
292,9
293,1
294,8
295,6
296,9
297,4
298,2
299,1
300,5
301,9
302,4
303,7
304,2
305,1
306,4
307,3
308,6
309,3
310,0
311,1
312,1
313,9
314,4
315,3
316,5
317,5
318,9
319,8
320,4
321,5
322,4
323,3
324,0
325,7
326,2
327,5
328,7
329,5
330,1
331,3
332,5
333,7
334,5
335,5
336,8
337,8
338,5
339,0
340,1
341,1
342,7
343,2
344,8
345,1
346,4
347,2
348,4
349,7
350,0
351,3
352,1
353,3
354,7
355,7
356,1
357,0
358,1
359,0
360,4
361,2
362,3
363,9
364,7
365,7
366,3
367,2
368,8
369,5
370,3
371,0
372,1
373,8
374,7
375,9
376,7
377,0
378,9
379,8
380,2
381,0
382,5
383,3
384,3
385,9
386,7
387,4
388,0
389,0
390,4
391,3
392,7
393,7
394,9
395,3
396,0
397,2
398,4
399,5
400,3
401,8
402,0
403,1
404,4
405,4
406,7
407,7
408,3
409,2
410,7
411,7
412,1
413,1
414,0
415,7
416,8
417,2
418,4
419,7
420,3
421,0
422,5
423,9
424,7
425,5
426,7
427,4
428,3
429,4
430,6
431,1
432,7
433,1
434,1
435,3
436,8
437,0
438,7
439,0
440,0
441,0
442,2
443,9
444,7
445,1
446,8
447,0
448,3
449,9
450,7
451,1
452,9
453,1
454,1
455,2
456,2
457,2
458,8
459,1
460,2
461,9
462,8
463,2
464,0
465,5
466,4
467,7
468,3
469,1
470,7
471,8
472,3
473,9
474,7
475,6
476,0
477,1
478,3
479,2
480,1
481,3
482,3
483,3
484,2
485,1
486,1
487,1
488,4
489,7
490,3
491,0
492,7
493,7
494,3
495,3
496,7
497,6
498,5
499,9
500,0
501,0
502,0
503,1
504,4
505,9
506,0
507,3
508,4
509,7
510,2
511,3
512,2
513,6
514,1
515,7
516,8
517,2
518,0
519,4
520,1
521,2
522,0
523,8
524,3
525,5
526,0
527,6
528,3
529,3
530,5
531,1
532,0
533,2
534,0
535,0
536,1
537,1
538,0
539,5
540,3
541,3
542,7
543,0
544,6
545,2
546,1
547,6
548,4
549,5
550,7
551,0
552,4
553,7
554,1
555,1
556,3
557,5
558,0
559,0
560,8
561,1
562,0
563,4
564,1
565,2
566,4
567,6
568,0
569,9
570,9
571,1
572,3
573,8
574,4
575,4
576,8
577,8
578,7
579,1
580,5
581,8
582,3
583,4
584,5
585,6
586,1
587,3
588,9
589,2
590,3
591,1
592,9
593,7
594,5
595,1
596,0
597,8
598,5
599,7
600,3
601,1
602,0
603,0
604,7
605,0
606,9
607,8
608,9
609,2
610,2
611,1
612,1
613,0
614,1
615,7
616,0
617,4
618,7
619,2
620,0
621,3
622,3
623,0
624,0
625,1
626,3
627,8
628,4
629,3
630,9
631,3
632,1
633,3
634,3
635,1
636,0
637,3
638,3
639,8
640,4
641,0
642,6
643,4
644,2
645,5
646,7
647,5
648,9
649,9
650,5
651,0
652,7
653,1
654,7
655,2
656,6
657,4
658,6
659,0
660,3
661,1
662,3
663,2
664,8
665,8
666,7
667,3
668,9
669,2
670,1
671,0
672,1
673,1
674,8
675,9
676,7
677,3
678,0
679,5
680,0
681,7
682,3
683,2
684,3
685,7
686,5
687,1
688,1
689,5
690,3
691,7
692,3
693,0
694,5
695,2
696,6
697,9
698,2
699,0
700,2
701,0
702,1
703,7
704,3
705,0
706,9
707,5
708,7
709,7
710,1
711,4
712,9
713,8
714,9
715,8
716,3
717,0
718,2
719,0
720,7
721,4
722,2
723,2
724,3
725,0
726,2
727,7
728,0
729,2
730,3
731,3
732,1
733,3
734,2
735,2
736,5
737,1
738,8
739,2
740,6
741,2
742,8
743,1
744,3
745,2
746,8
747,0
748,7
749,8
750,1
751,9
752,1
753,4
754,1
755,9
756,4
757,6
758,1
759,1
760,1
761,7
762,8
763,8
764,0
765,9
766,3
767,2
768,2
769,2
770,1
771,2
772,1
773,1
774,0
775,3
776,1
777,2
778,2
779,5
780,6
781,7
782,1
783,0
784,2
785,7
786,7
787,9
788,9
789,9
790,1
791,2
792,7
793,0
794,4
795,3
796,3
797,6
798,6
799,9
800,1
801,8
802,1
803,5
804,2
805,0
806,7
807,5
808,0
809,2
810,5
811,3
