Id,Class
0,tensor(3)
1,tensor(5)
2,tensor(2)
3,tensor(6)
4,tensor(4)
5,tensor(6)
6,tensor(6)
7,tensor(2)
8,tensor(9)
9,tensor(5)
10,tensor(4)
11,tensor(2)
12,tensor(4)
13,tensor(6)
14,tensor(3)
15,tensor(5)
16,tensor(3)
17,tensor(8)
18,tensor(2)
19,tensor(2)
20,tensor(7)
21,tensor(9)
22,tensor(8)
23,tensor(2)
24,tensor(8)
25,tensor(4)
26,tensor(9)
27,tensor(4)
28,tensor(6)
29,tensor(6)
30,tensor(8)
31,tensor(3)
32,tensor(8)
33,tensor(5)
34,tensor(2)
35,tensor(2)
36,tensor(6)
37,tensor(0)
38,tensor(8)
39,tensor(8)
40,tensor(4)
41,tensor(0)
42,tensor(7)
43,tensor(2)
44,tensor(2)
45,tensor(5)
46,tensor(5)
47,tensor(1)
48,tensor(3)
49,tensor(4)
50,tensor(7)
51,tensor(9)
52,tensor(2)
53,tensor(8)
54,tensor(6)
55,tensor(7)
56,tensor(8)
57,tensor(7)
58,tensor(2)
59,tensor(8)
60,tensor(6)
61,tensor(3)
62,tensor(0)
63,tensor(1)
64,tensor(2)
65,tensor(2)
66,tensor(9)
67,tensor(4)
68,tensor(7)
69,tensor(7)
70,tensor(7)
71,tensor(9)
72,tensor(4)
73,tensor(2)
74,tensor(2)
75,tensor(9)
76,tensor(8)
77,tensor(6)
78,tensor(1)
79,tensor(1)
80,tensor(0)
81,tensor(6)
82,tensor(4)
83,tensor(9)
84,tensor(7)
85,tensor(7)
86,tensor(4)
87,tensor(3)
88,tensor(7)
89,tensor(5)
90,tensor(2)
91,tensor(6)
92,tensor(2)
93,tensor(8)
94,tensor(2)
95,tensor(6)
96,tensor(4)
97,tensor(7)
98,tensor(5)
99,tensor(6)
100,tensor(8)
101,tensor(0)
102,tensor(2)
103,tensor(4)
104,tensor(6)
105,tensor(2)
106,tensor(4)
107,tensor(7)
108,tensor(7)
109,tensor(2)
110,tensor(5)
