Id,Class
0,3
1,5
2,2
3,9
4,4
5,6
6,6
7,2
8,9
9,5
10,4
11,3
12,4
13,6
14,9
15,5
16,6
17,8
18,2
19,3
20,7
21,9
22,8
23,9
24,8
25,4
26,9
27,4
28,6
29,6
30,8
31,3
32,8
33,5
34,2
35,3
36,6
37,0
38,8
39,5
40,4
41,9
42,7
43,3
44,3
45,5
46,5
47,1
48,9
49,4
50,7
51,9
52,2
53,8
54,4
55,7
56,8
57,7
58,2
59,8
60,6
61,3
62,0
63,3
64,2
65,2
66,9
67,9
68,7
69,7
70,7
71,9
72,4
73,2
74,2
75,9
76,8
77,6
78,9
79,1
80,9
81,6
82,4
83,9
84,7
85,7
86,4
87,3
88,7
89,5
90,2
91,6
92,2
93,8
94,1
95,6
96,4
97,7
98,7
99,6
100,8
101,0
102,6
103,4
104,7
105,3
106,4
107,7
108,7
109,2
110,5
111,6
112,0
113,2
114,2
115,2
116,6
117,3
118,3
119,3
120,3
121,7
122,9
123,5
124,5
125,6
126,1
127,5
128,4
129,0
130,5
131,9
132,7
133,1
134,4
135,9
136,5
137,6
138,1
139,8
140,9
141,3
142,5
143,7
144,2
145,5
146,9
147,3
148,5
149,7
150,2
151,7
152,6
153,4
154,2
155,4
156,3
157,7
158,9
159,3
160,2
161,5
162,9
163,2
164,1
165,9
166,6
167,9
168,7
169,9
170,4
171,4
172,9
173,8
174,6
175,8
176,6
177,9
178,1
179,9
180,6
181,8
182,9
183,7
184,6
185,8
186,3
187,0
188,9
189,2
190,6
191,2
192,5
193,1
194,9
195,9
196,3
197,4
198,4
199,9
200,8
201,8
202,3
203,7
204,7
205,8
206,8
207,5
208,8
209,3
210,5
211,8
212,6
213,4
214,0
215,8
216,7
217,8
218,9
219,5
220,4
221,4
222,9
223,5
224,0
225,2
226,9
227,1
228,7
229,8
230,9
231,0
232,4
233,4
234,4
235,4
236,4
237,9
238,2
239,9
240,5
241,4
242,8
243,3
244,6
245,4
246,6
247,6
248,1
249,7
250,0
251,5
252,0
253,4
254,2
255,3
256,4
257,9
258,9
259,5
260,2
261,7
